3/22/2024	
User name: Benedetta-Federico
Cooldown number: CD187
Number of segments: 200
Record lenght: 1000
Time : 1.000000E-5
Laser: 406nm,	16.5 mW
Attenuation: 
Temperature: 40.5 mK
I_bias: 165.999 uA
Filter: 

Resource name:PXI1Slot2_1
Acquisition time:1.615797E+2

Amplitude	Counts
V
8.197293E-1	1.000000E+0
8.208774E-1	0.000000E+0
8.220254E-1	1.000000E+0
8.231734E-1	0.000000E+0
8.243214E-1	0.000000E+0
8.254695E-1	0.000000E+0
8.266175E-1	0.000000E+0
8.277655E-1	0.000000E+0
8.289136E-1	0.000000E+0
8.300616E-1	1.000000E+0
8.312096E-1	0.000000E+0
8.323577E-1	0.000000E+0
8.335057E-1	0.000000E+0
8.346537E-1	0.000000E+0
8.358018E-1	1.000000E+0
8.369498E-1	0.000000E+0
8.380978E-1	0.000000E+0
8.392459E-1	0.000000E+0
8.403939E-1	0.000000E+0
8.415419E-1	0.000000E+0
8.426900E-1	0.000000E+0
8.438380E-1	0.000000E+0
8.449860E-1	0.000000E+0
8.461340E-1	0.000000E+0
8.472821E-1	0.000000E+0
8.484301E-1	0.000000E+0
8.495781E-1	0.000000E+0
8.507262E-1	0.000000E+0
8.518742E-1	0.000000E+0
8.530222E-1	0.000000E+0
8.541703E-1	1.000000E+0
8.553183E-1	0.000000E+0
8.564663E-1	0.000000E+0
8.576144E-1	0.000000E+0
8.587624E-1	0.000000E+0
8.599104E-1	0.000000E+0
8.610585E-1	0.000000E+0
8.622065E-1	0.000000E+0
8.633545E-1	0.000000E+0
8.645026E-1	1.000000E+0
8.656506E-1	1.000000E+0
8.667986E-1	1.000000E+0
8.679467E-1	0.000000E+0
8.690947E-1	0.000000E+0
8.702427E-1	1.000000E+0
8.713907E-1	0.000000E+0
8.725388E-1	0.000000E+0
8.736868E-1	0.000000E+0
8.748348E-1	0.000000E+0
8.759829E-1	0.000000E+0
8.771309E-1	1.000000E+0
8.782789E-1	0.000000E+0
8.794270E-1	0.000000E+0
8.805750E-1	0.000000E+0
8.817230E-1	0.000000E+0
8.828711E-1	1.000000E+0
8.840191E-1	0.000000E+0
8.851671E-1	0.000000E+0
8.863152E-1	0.000000E+0
8.874632E-1	0.000000E+0
8.886112E-1	0.000000E+0
8.897593E-1	0.000000E+0
8.909073E-1	0.000000E+0
8.920553E-1	2.000000E+0
8.932034E-1	1.000000E+0
8.943514E-1	1.000000E+0
8.954994E-1	0.000000E+0
8.966474E-1	0.000000E+0
8.977955E-1	0.000000E+0
8.989435E-1	0.000000E+0
9.000915E-1	1.000000E+0
9.012396E-1	3.000000E+0
9.023876E-1	0.000000E+0
9.035356E-1	1.000000E+0
9.046837E-1	0.000000E+0
9.058317E-1	0.000000E+0
9.069797E-1	0.000000E+0
9.081278E-1	0.000000E+0
9.092758E-1	1.000000E+0
9.104238E-1	0.000000E+0
9.115719E-1	0.000000E+0
9.127199E-1	0.000000E+0
9.138679E-1	1.000000E+0
9.150160E-1	1.000000E+0
9.161640E-1	1.000000E+0
9.173120E-1	1.000000E+0
9.184601E-1	1.000000E+0
9.196081E-1	0.000000E+0
9.207561E-1	1.000000E+0
9.219041E-1	1.000000E+0
9.230522E-1	1.000000E+0
9.242002E-1	1.000000E+0
9.253482E-1	3.000000E+0
9.264963E-1	3.000000E+0
9.276443E-1	0.000000E+0
9.287923E-1	0.000000E+0
9.299404E-1	2.000000E+0
9.310884E-1	2.000000E+0
9.322364E-1	1.000000E+0
9.333845E-1	0.000000E+0
9.345325E-1	0.000000E+0
9.356805E-1	1.000000E+0
9.368286E-1	0.000000E+0
9.379766E-1	2.000000E+0
9.391246E-1	0.000000E+0
9.402727E-1	3.000000E+0
9.414207E-1	0.000000E+0
9.425687E-1	2.000000E+0
9.437167E-1	1.000000E+0
9.448648E-1	3.000000E+0
9.460128E-1	3.000000E+0
9.471608E-1	1.000000E+0
9.483089E-1	4.000000E+0
9.494569E-1	3.000000E+0
9.506049E-1	4.000000E+0
9.517530E-1	4.000000E+0
9.529010E-1	2.000000E+0
9.540490E-1	1.000000E+0
9.551971E-1	1.000000E+0
9.563451E-1	3.000000E+0
9.574931E-1	1.000000E+0
9.586412E-1	0.000000E+0
9.597892E-1	1.000000E+0
9.609372E-1	0.000000E+0
9.620853E-1	2.000000E+0
9.632333E-1	2.000000E+0
9.643813E-1	3.000000E+0
9.655294E-1	1.000000E+0
9.666774E-1	1.000000E+0
9.678254E-1	0.000000E+0
9.689734E-1	0.000000E+0
9.701215E-1	3.000000E+0
9.712695E-1	3.000000E+0
9.724175E-1	3.000000E+0
9.735656E-1	7.000000E+0
9.747136E-1	5.000000E+0
9.758616E-1	3.000000E+0
9.770097E-1	7.000000E+0
9.781577E-1	4.000000E+0
9.793057E-1	5.000000E+0
9.804538E-1	2.000000E+0
9.816018E-1	5.000000E+0
9.827498E-1	3.000000E+0
9.838979E-1	8.000000E+0
9.850459E-1	5.000000E+0
9.861939E-1	2.000000E+0
9.873420E-1	6.000000E+0
9.884900E-1	1.000000E+0
9.896380E-1	3.000000E+0
9.907861E-1	1.000000E+0
9.919341E-1	2.000000E+0
9.930821E-1	4.000000E+0
9.942301E-1	3.000000E+0
9.953782E-1	4.000000E+0
9.965262E-1	0.000000E+0
9.976742E-1	7.000000E+0
9.988223E-1	3.000000E+0
9.999703E-1	3.000000E+0
1.001118E+0	4.000000E+0
1.002266E+0	8.000000E+0
1.003414E+0	2.000000E+0
1.004562E+0	7.000000E+0
1.005710E+0	1.000000E+1
1.006858E+0	1.000000E+1
1.008007E+0	6.000000E+0
1.009155E+0	1.100000E+1
1.010303E+0	7.000000E+0
1.011451E+0	4.000000E+0
1.012599E+0	5.000000E+0
1.013747E+0	1.000000E+0
1.014895E+0	8.000000E+0
1.016043E+0	8.000000E+0
1.017191E+0	7.000000E+0
1.018339E+0	8.000000E+0
1.019487E+0	6.000000E+0
1.020635E+0	1.100000E+1
1.021783E+0	3.000000E+0
1.022931E+0	8.000000E+0
1.024079E+0	9.000000E+0
1.025227E+0	1.400000E+1
1.026375E+0	1.500000E+1
1.027523E+0	1.500000E+1
1.028671E+0	8.000000E+0
1.029819E+0	1.100000E+1
1.030967E+0	1.200000E+1
1.032115E+0	1.100000E+1
1.033263E+0	1.100000E+1
1.034411E+0	1.000000E+1
1.035559E+0	1.200000E+1
1.036707E+0	1.200000E+1
1.037855E+0	1.100000E+1
1.039003E+0	1.600000E+1
1.040151E+0	6.000000E+0
1.041299E+0	8.000000E+0
1.042447E+0	1.800000E+1
1.043596E+0	1.000000E+1
1.044744E+0	1.200000E+1
1.045892E+0	1.200000E+1
1.047040E+0	1.400000E+1
1.048188E+0	1.300000E+1
1.049336E+0	1.800000E+1
1.050484E+0	1.500000E+1
1.051632E+0	1.900000E+1
1.052780E+0	1.200000E+1
1.053928E+0	1.700000E+1
1.055076E+0	2.600000E+1
1.056224E+0	2.700000E+1
1.057372E+0	3.000000E+1
1.058520E+0	2.900000E+1
1.059668E+0	2.800000E+1
1.060816E+0	1.900000E+1
1.061964E+0	2.000000E+1
1.063112E+0	1.600000E+1
1.064260E+0	2.100000E+1
1.065408E+0	1.700000E+1
1.066556E+0	1.400000E+1
1.067704E+0	2.100000E+1
1.068852E+0	1.600000E+1
1.070000E+0	2.300000E+1
1.071148E+0	2.300000E+1
1.072296E+0	1.400000E+1
1.073444E+0	2.600000E+1
1.074592E+0	2.500000E+1
1.075740E+0	3.000000E+1
1.076888E+0	3.600000E+1
1.078036E+0	3.000000E+1
1.079184E+0	3.200000E+1
1.080333E+0	4.300000E+1
1.081481E+0	3.200000E+1
1.082629E+0	2.800000E+1
1.083777E+0	5.100000E+1
1.084925E+0	3.400000E+1
1.086073E+0	4.800000E+1
1.087221E+0	3.900000E+1
1.088369E+0	3.300000E+1
1.089517E+0	4.100000E+1
1.090665E+0	3.100000E+1
1.091813E+0	2.900000E+1
1.092961E+0	3.700000E+1
1.094109E+0	3.900000E+1
1.095257E+0	3.600000E+1
1.096405E+0	4.200000E+1
1.097553E+0	3.300000E+1
1.098701E+0	5.000000E+1
1.099849E+0	3.900000E+1
1.100997E+0	5.100000E+1
1.102145E+0	4.900000E+1
1.103293E+0	6.400000E+1
1.104441E+0	5.600000E+1
1.105589E+0	5.400000E+1
1.106737E+0	6.400000E+1
1.107885E+0	6.700000E+1
1.109033E+0	5.900000E+1
1.110181E+0	7.400000E+1
1.111329E+0	6.600000E+1
1.112477E+0	6.700000E+1
1.113625E+0	6.000000E+1
1.114773E+0	5.300000E+1
1.115922E+0	6.600000E+1
1.117070E+0	6.400000E+1
1.118218E+0	4.100000E+1
1.119366E+0	6.400000E+1
1.120514E+0	6.300000E+1
1.121662E+0	5.700000E+1
1.122810E+0	6.200000E+1
1.123958E+0	7.200000E+1
1.125106E+0	8.200000E+1
1.126254E+0	9.200000E+1
1.127402E+0	8.400000E+1
1.128550E+0	9.400000E+1
1.129698E+0	1.180000E+2
1.130846E+0	9.500000E+1
1.131994E+0	9.000000E+1
1.133142E+0	1.070000E+2
1.134290E+0	1.110000E+2
1.135438E+0	9.400000E+1
1.136586E+0	9.500000E+1
1.137734E+0	9.300000E+1
1.138882E+0	9.600000E+1
1.140030E+0	8.100000E+1
1.141178E+0	7.300000E+1
1.142326E+0	9.100000E+1
1.143474E+0	8.200000E+1
1.144622E+0	7.800000E+1
1.145770E+0	9.500000E+1
1.146918E+0	1.080000E+2
1.148066E+0	1.240000E+2
1.149214E+0	1.390000E+2
1.150362E+0	1.040000E+2
1.151510E+0	1.460000E+2
1.152659E+0	1.490000E+2
1.153807E+0	1.330000E+2
1.154955E+0	1.610000E+2
1.156103E+0	1.710000E+2
1.157251E+0	1.440000E+2
1.158399E+0	1.430000E+2
1.159547E+0	1.420000E+2
1.160695E+0	1.230000E+2
1.161843E+0	1.200000E+2
1.162991E+0	1.340000E+2
1.164139E+0	1.170000E+2
1.165287E+0	1.340000E+2
1.166435E+0	1.510000E+2
1.167583E+0	1.300000E+2
1.168731E+0	1.350000E+2
1.169879E+0	1.670000E+2
1.171027E+0	1.780000E+2
1.172175E+0	1.920000E+2
1.173323E+0	1.850000E+2
1.174471E+0	2.030000E+2
1.175619E+0	1.940000E+2
1.176767E+0	2.070000E+2
1.177915E+0	2.440000E+2
1.179063E+0	2.130000E+2
1.180211E+0	2.090000E+2
1.181359E+0	2.030000E+2
1.182507E+0	2.010000E+2
1.183655E+0	1.870000E+2
1.184803E+0	2.030000E+2
1.185951E+0	1.980000E+2
1.187099E+0	2.070000E+2
1.188248E+0	2.230000E+2
1.189396E+0	2.210000E+2
1.190544E+0	2.100000E+2
1.191692E+0	2.000000E+2
1.192840E+0	2.380000E+2
1.193988E+0	2.470000E+2
1.195136E+0	2.630000E+2
1.196284E+0	3.000000E+2
1.197432E+0	2.970000E+2
1.198580E+0	3.020000E+2
1.199728E+0	2.990000E+2
1.200876E+0	3.490000E+2
1.202024E+0	3.000000E+2
1.203172E+0	3.010000E+2
1.204320E+0	3.200000E+2
1.205468E+0	2.830000E+2
1.206616E+0	2.590000E+2
1.207764E+0	2.870000E+2
1.208912E+0	2.320000E+2
1.210060E+0	2.640000E+2
1.211208E+0	2.670000E+2
1.212356E+0	3.330000E+2
1.213504E+0	3.140000E+2
1.214652E+0	3.250000E+2
1.215800E+0	3.230000E+2
1.216948E+0	3.540000E+2
1.218096E+0	3.960000E+2
1.219244E+0	3.900000E+2
1.220392E+0	4.060000E+2
1.221540E+0	4.530000E+2
1.222688E+0	4.150000E+2
1.223836E+0	3.820000E+2
1.224985E+0	4.390000E+2
1.226133E+0	3.920000E+2
1.227281E+0	3.710000E+2
1.228429E+0	3.910000E+2
1.229577E+0	3.820000E+2
1.230725E+0	4.250000E+2
1.231873E+0	3.610000E+2
1.233021E+0	3.950000E+2
1.234169E+0	3.660000E+2
1.235317E+0	4.150000E+2
1.236465E+0	4.430000E+2
1.237613E+0	4.900000E+2
1.238761E+0	5.080000E+2
1.239909E+0	5.420000E+2
1.241057E+0	4.950000E+2
1.242205E+0	5.820000E+2
1.243353E+0	5.330000E+2
1.244501E+0	6.040000E+2
1.245649E+0	5.920000E+2
1.246797E+0	6.040000E+2
1.247945E+0	4.820000E+2
1.249093E+0	5.550000E+2
1.250241E+0	4.950000E+2
1.251389E+0	4.770000E+2
1.252537E+0	5.470000E+2
1.253685E+0	5.090000E+2
1.254833E+0	5.100000E+2
1.255981E+0	5.270000E+2
1.257129E+0	5.770000E+2
1.258277E+0	6.070000E+2
1.259425E+0	6.400000E+2
1.260574E+0	6.840000E+2
1.261722E+0	6.630000E+2
1.262870E+0	7.590000E+2
1.264018E+0	7.760000E+2
1.265166E+0	7.730000E+2
1.266314E+0	7.220000E+2
1.267462E+0	7.220000E+2
1.268610E+0	7.220000E+2
1.269758E+0	7.730000E+2
1.270906E+0	6.780000E+2
1.272054E+0	6.470000E+2
1.273202E+0	6.650000E+2
1.274350E+0	6.770000E+2
1.275498E+0	6.900000E+2
1.276646E+0	7.140000E+2
1.277794E+0	7.690000E+2
1.278942E+0	8.200000E+2
1.280090E+0	8.440000E+2
1.281238E+0	8.470000E+2
1.282386E+0	8.790000E+2
1.283534E+0	9.180000E+2
1.284682E+0	9.550000E+2
1.285830E+0	9.730000E+2
1.286978E+0	9.340000E+2
1.288126E+0	8.800000E+2
1.289274E+0	8.830000E+2
1.290422E+0	8.790000E+2
1.291570E+0	8.520000E+2
1.292718E+0	8.300000E+2
1.293866E+0	7.820000E+2
1.295014E+0	8.540000E+2
1.296162E+0	8.720000E+2
1.297311E+0	8.600000E+2
1.298459E+0	9.250000E+2
1.299607E+0	9.420000E+2
1.300755E+0	1.060000E+3
1.301903E+0	1.026000E+3
1.303051E+0	1.114000E+3
1.304199E+0	1.097000E+3
1.305347E+0	1.236000E+3
1.306495E+0	1.174000E+3
1.307643E+0	1.147000E+3
1.308791E+0	1.140000E+3
1.309939E+0	1.123000E+3
1.311087E+0	1.026000E+3
1.312235E+0	9.860000E+2
1.313383E+0	1.026000E+3
1.314531E+0	1.037000E+3
1.315679E+0	1.032000E+3
1.316827E+0	1.078000E+3
1.317975E+0	1.061000E+3
1.319123E+0	1.168000E+3
1.320271E+0	1.166000E+3
1.321419E+0	1.256000E+3
1.322567E+0	1.307000E+3
1.323715E+0	1.317000E+3
1.324863E+0	1.368000E+3
1.326011E+0	1.424000E+3
1.327159E+0	1.320000E+3
1.328307E+0	1.379000E+3
1.329455E+0	1.370000E+3
1.330603E+0	1.293000E+3
1.331751E+0	1.367000E+3
1.332900E+0	1.273000E+3
1.334048E+0	1.275000E+3
1.335196E+0	1.292000E+3
1.336344E+0	1.333000E+3
1.337492E+0	1.337000E+3
1.338640E+0	1.375000E+3
1.339788E+0	1.363000E+3
1.340936E+0	1.488000E+3
1.342084E+0	1.518000E+3
1.343232E+0	1.559000E+3
1.344380E+0	1.584000E+3
1.345528E+0	1.669000E+3
1.346676E+0	1.578000E+3
1.347824E+0	1.593000E+3
1.348972E+0	1.535000E+3
1.350120E+0	1.506000E+3
1.351268E+0	1.465000E+3
1.352416E+0	1.466000E+3
1.353564E+0	1.401000E+3
1.354712E+0	1.415000E+3
1.355860E+0	1.491000E+3
1.357008E+0	1.440000E+3
1.358156E+0	1.510000E+3
1.359304E+0	1.598000E+3
1.360452E+0	1.676000E+3
1.361600E+0	1.653000E+3
1.362748E+0	1.815000E+3
1.363896E+0	1.809000E+3
1.365044E+0	1.764000E+3
1.366192E+0	1.824000E+3
1.367340E+0	1.719000E+3
1.368489E+0	1.833000E+3
1.369637E+0	1.675000E+3
