ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -45.15, -42.62, 51.89, -21.26, -19.31, 0.01, 61.04, 132.24
 1, 325.00, -50.97, -47.99, 1184.54, -63.07, -58.72, 4.01, 85.84, 132.95 
2, 230.00, 17.17, 0.04, 21.00, 28.72, -47.45, 0.01, 20.74, -148.81
 2, 325.00, 22.38, -7.46, 1185.49, 49.07, -52.79, 4.01, 86.52, -137.09 
3, 230.00, 30.62, 29.53, 36.08, 44.93, -14.03, 0.01, 37.47, -107.34
 3, 325.00, 38.84, 28.60, 1185.65, 68.95, 5.55, 4.01, 86.66, -85.39 
4, 230.00, -64.90, -35.00, 51.12, -27.77, 11.55, 0.01, 59.53, 67.43
 4, 325.00, -73.95, -35.93, 1182.96, -102.32, -26.43, 4.01, 84.90, 104.48 
5, 230.00, 2.01, 45.16, 13.66, -36.62, 44.61, 0.01, 13.32, 39.38
 5, 325.00, -3.66, 54.17, 1184.37, -37.58, 80.03, 4.01, 85.73, 25.15 
6, 230.00, 33.72, 7.97, 41.89, 10.27, -40.71, 0.01, 44.93, -165.84
 6, 325.00, 36.61, 2.00, 1186.58, 34.00, -37.87, 4.01, 87.54, -138.08 
7, 230.00, -22.32, 2.60, 54.68, -22.56, 4.34, 0.01, 67.21, 79.11
 7, 325.00, -26.63, 3.37, 1186.87, -42.85, 6.85, 4.01, 87.91, 80.91 
8, 230.00, -5.86, -32.62, 28.91, 30.08, -42.16, 0.01, 29.17, -144.49
 8, 325.00, -1.40, -40.46, 1185.46, 28.04, -66.68, 4.01, 86.51, -157.19 
9, 230.00, -42.89, 1.31, 24.13, -30.20, -44.98, 0.01, 24.01, 146.13
 9, 325.00, -49.42, -5.65, 1185.12, -62.04, -46.93, 4.01, 86.24, 127.10 
10, 230.00, -43.63, 23.63, 40.22, -43.34, -4.61, 0.01, 42.70, 96.07
 10, 325.00, -52.32, 24.03, 1184.98, -78.83, 12.78, 4.01, 86.14, 80.79 
11, 230.00, -20.76, 77.12, 49.10, 31.76, -9.89, 0.01, 55.88, -107.30
 11, 325.00, -17.84, 82.29, 1184.66, 9.04, 84.07, 4.01, 85.92, -6.14 
12, 230.00, 83.35, -23.45, 4.12, 23.96, -54.10, 0.01, 3.98, -156.11
 12, 325.00, 97.34, -34.55, 1172.10, 164.26, -98.84, 4.01, 80.71, -121.04 
13, 230.00, -6.85, -85.75, 55.65, 11.14, 17.22, 0.01, 69.77, -32.90
 13, 325.00, -5.96, -92.45, 1182.81, 2.14, -107.28, 4.01, 84.82, -178.86 
14, 230.00, -25.69, -72.37, 53.06, -15.68, 21.37, 0.01, 63.45, 36.27
 14, 325.00, -30.03, -74.87, 1185.28, -46.32, -59.41, 4.01, 86.36, 142.06 
15, 230.00, 56.37, -48.84, 26.46, 50.27, 17.06, 0.01, 26.49, -71.26
 15, 325.00, 68.48, -50.12, 1181.01, 119.81, -37.79, 4.01, 83.93, -107.51 
16, 230.00, -43.58, 73.30, 41.80, 29.40, 30.10, 0.01, 44.82, -44.33
 16, 325.00, -44.05, 85.83, 1178.51, -33.22, 143.41, 4.01, 82.88, 13.04 
17, 230.00, 17.47, -33.24, 32.10, -26.97, -41.95, 0.01, 32.77, 147.26
