ion,x,y,z,vx,vy,vz,energy,elev,azim
1, 230.00, -61.28, 62.41, 7.24, -52.86, 25.90, 0.01, 7.01, 63.90
 1, 325.00, -66.88, 67.25, 5915.77, -306.09, 282.19, 99.99, 85.97, 47.33 
2, 230.00, 3.27, 9.30, 46.16, -21.38, -30.49, 0.01, 51.11, 144.96
 2, 630.00, 5.28, 19.59, 2646.38, 43.48, 180.26, 20.01, 85.99, -13.56 
3, 230.00, 63.04, -4.46, 10.76, -4.95, -58.11, 0.01, 10.45, 175.13
 3, 325.00, 64.71, -6.44, 5928.50, 132.33, -70.11, 99.99, 88.55, -117.91 
4, 230.00, -79.47, 41.11, 53.02, 24.55, -10.21, 0.01, 63.37, -112.58
 4, 325.00, -84.20, 43.63, 5919.70, -315.24, 165.68, 99.99, 86.56, 62.27 
5, 230.00, 13.34, 55.93, 7.54, 41.80, 41.39, 0.01, 7.31, -45.28
 5, 325.00, 15.02, 58.71, 5927.91, 70.45, 156.52, 99.99, 88.34, -24.23 
6, 230.00, -81.13, 42.98, 22.02, 14.18, -53.21, 0.01, 21.80, -165.08
 6, 325.00, -87.11, 44.74, 5916.88, -371.86, 148.44, 99.99, 86.13, 68.24 
7, 230.00, -31.80, 31.63, 46.24, 36.37, -7.52, 0.01, 51.23, -101.68
 7, 325.00, -31.35, 32.09, 5930.13, -21.95, 51.54, 99.99, 89.46, 23.07 
8, 230.00, 22.33, -93.38, 56.57, -14.92, 9.73, 0.01, 72.53, 56.88
 8, 325.00, 24.39, -103.58, 5901.05, 124.00, -574.80, 99.99, 84.31, -167.83 
9, 230.00, -28.87, 84.40, 31.33, 30.65, 39.96, 0.01, 31.88, -37.48
 9, 325.00, -29.94, 91.52, 5915.63, -92.63, 408.08, 99.99, 85.95, 12.79 
10, 230.00, 1.40, -26.55, 32.04, 25.40, 42.96, 0.01, 32.70, -30.60
 10, 325.00, 2.25, -25.81, 5930.17, 31.99, -40.46, 99.99, 89.50, -141.67 
11, 230.00, 7.61, -33.04, 8.88, -56.50, -15.69, 0.01, 8.61, 105.52
 11, 325.00, 5.96, -34.26, 5929.60, -42.86, -86.85, 99.99, 89.06, 153.74 
12, 230.00, -35.95, -48.44, 53.64, -17.70, 18.08, 0.01, 64.74, 44.39
 12, 325.00, -37.49, -49.19, 5929.09, -93.44, -82.40, 99.99, 88.80, 131.41 
