ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -90.18, 9.37, 8.10, -52.51, -26.35, 0.01, 7.85, 116.65
 1, 425.00, -148.53, 5.63, 1147.80, -305.06, -7.74, 4.01, 75.11, 91.45 
2, 230.00, 3.13, 53.46, 26.47, -7.88, -52.49, 0.01, 26.51, 171.46
 2, 425.00, 1.32, 48.38, 1187.54, -4.86, 16.49, 4.01, 89.17, 16.44 
3, 230.00, -57.03, 68.35, 16.38, -34.21, -45.59, 0.01, 16.04, 143.12
 3, 425.00, -89.82, 81.30, 1169.79, -176.55, 104.82, 4.01, 80.04, 59.30 
4, 230.00, 66.53, 57.12, 33.28, -21.23, 44.26, 0.01, 34.13, 25.62
 4, 425.00, 86.14, 92.88, 1165.44, 129.84, 188.28, 4.01, 78.90, -34.59 
5, 230.00, -40.53, 86.21, 54.72, -19.41, 12.11, 0.01, 67.31, 58.03
 5, 425.00, -68.09, 136.22, 1147.11, -144.52, 271.76, 4.01, 74.98, 28.00 
6, 230.00, -78.56, -36.89, 12.47, -57.22, -9.38, 0.01, 12.14, 99.31
 6, 425.00, -128.64, -55.00, 1154.26, -260.91, -100.87, 4.01, 76.38, 111.14 
7, 230.00, -63.89, -49.09, 37.48, 41.18, 20.44, 0.01, 39.19, -63.60
 7, 425.00, -70.62, -57.66, 1183.34, -73.32, -70.00, 4.01, 85.10, 133.67 
8, 230.00, -47.29, -51.06, 50.19, -15.61, -27.48, 0.01, 57.80, 150.40
 8, 425.00, -65.02, -73.46, 1176.54, -103.64, -124.81, 4.01, 82.15, 140.29 
9, 230.00, -14.97, 20.56, 2.82, -59.20, -2.12, 0.01, 2.72, 92.05
 9, 425.00, -37.07, 23.82, 1183.76, -92.73, 25.90, 4.01, 85.35, 74.39 
10, 230.00, 34.35, 49.60, 15.32, -39.14, 41.85, 0.01, 14.97, 43.08
 10, 425.00, 30.28, 74.84, 1180.28, 8.26, 132.00, 4.01, 83.61, -3.58 
11, 230.00, -57.67, 6.42, 32.60, -42.64, 25.22, 0.01, 33.35, 59.40
 11, 425.00, -85.00, 15.88, 1177.95, -145.93, 41.16, 4.01, 82.67, 74.25 
12, 230.00, -19.66, 5.16, 24.23, -42.98, 32.91, 0.01, 24.12, 52.55
 12, 425.00, -37.11, 16.66, 1184.11, -79.02, 46.93, 4.01, 85.56, 59.29 
13, 230.00, 81.33, 33.06, 57.54, -14.35, 1.11, 0.01, 75.95, 85.57
 13, 425.00, 107.39, 45.72, 1173.37, 167.13, 76.41, 4.01, 81.10, -65.43 
14, 230.00, -36.33, 31.85, 19.78, -35.62, 43.10, 0.01, 19.48, 39.57
 14, 425.00, -55.78, 52.68, 1179.18, -99.11, 101.34, 4.01, 83.15, 44.36 
15, 230.00, 15.74, 11.10, 44.23, 29.23, 26.59, 0.01, 48.22, -47.71
 15, 425.00, 27.88, 21.54, 1185.36, 56.95, 47.37, 4.01, 86.42, -50.24 
16, 230.00, 87.25, 1.79, 29.40, -33.12, -39.45, 0.01, 29.71, 139.98
 16, 425.00, 108.52, -9.50, 1177.09, 151.83, -44.46, 4.01, 82.35, -106.32 
17, 230.00, 10.21, 79.39, 47.88, 33.49, 10.16, 0.01, 53.84, -73.12
 17, 425.00, 23.65, 108.04, 1173.37, 61.55, 173.12, 4.01, 81.10, -19.57 
18, 230.00, -40.92, -33.88, 20.27, 10.15, -54.81, 0.01, 19.98, -169.51
 18, 425.00, -47.03, -58.97, 1180.51, -51.49, -119.55, 4.01, 83.71, 156.70 
19, 230.00, -69.87, 25.39, 40.80, 36.55, 22.74, 0.01, 43.47, -58.12
 19, 425.00, -78.01, 39.38, 1182.54, -82.00, 73.65, 4.01, 84.68, 48.07 
20, 230.00, 67.56, -26.92, 47.55, 35.17, 4.44, 0.01, 53.29, -82.80
 20, 425.00, 97.77, -33.30, 1174.83, 168.34, -44.59, 4.01, 81.57, -104.84 
21, 230.00, 11.16, -78.80, 8.85, -32.56, -48.78, 0.01, 8.58, 146.28
 21, 425.00, 4.74, -120.60, 1166.12, -16.95, -224.57, 4.01, 79.07, 175.68 
22, 230.00, -2.34, 98.69, 22.58, -34.69, 42.48, 0.01, 22.38, 39.24
 22, 425.00, -14.71, 188.77, 1103.47, -51.58, 436.07, 4.01, 68.30, 6.75 
23, 230.00, -26.52, -61.71, 30.72, -48.73, 14.11, 0.01, 31.20, 73.86
 23, 425.00, -48.58, -73.36, 1179.65, -105.10, -89.12, 4.01, 83.34, 130.30 
24, 230.00, 25.00, 10.63, 37.46, -36.39, 28.11, 0.01, 39.17, 52.32
 24, 425.00, 18.22, 21.51, 1186.61, -8.81, 49.40, 4.01, 87.58, 10.11 
25, 230.00, -67.29, -13.16, 13.50, 56.08, 13.82, 0.01, 13.15, -76.16
 25, 425.00, -66.33, -12.07, 1186.86, -43.55, -5.03, 4.01, 87.88, 96.59 
26, 230.00, -44.60, -89.03, 3.68, 11.23, 58.12, 0.01, 3.56, -10.94
 26, 425.00, -71.72, -132.76, 1151.13, -148.04, -251.83, 4.01, 75.76, 149.55 
27, 230.00, 50.69, -36.63, 35.70, -2.27, 47.30, 0.01, 37.01, 2.75
 27, 425.00, 61.98, -30.60, 1185.05, 78.85, -1.59, 4.01, 86.19, -91.15 
28, 230.00, 38.15, -3.63, 50.46, -29.11, -11.15, 0.01, 58.29, 110.96
 28, 425.00, 36.57, -7.82, 1187.37, 19.06, -18.60, 4.01, 88.72, -134.30 
29, 230.00, -88.76, 23.43, 45.00, 37.90, -7.46, 0.01, 49.36, -101.14
 29, 425.00, -114.02, 30.85, 1174.25, -171.30, 48.32, 4.01, 81.38, 74.25 
30, 230.00, 4.32, -56.85, 55.51, 20.12, 5.57, 0.01, 69.39, -74.53
 30, 425.00, 11.50, -68.08, 1184.42, 31.03, -82.15, 4.01, 85.76, -159.31 
31, 230.00, 20.99, 79.19, 52.55, 18.32, -20.50, 0.01, 62.38, -138.22
 31, 425.00, 33.25, 98.49, 1178.11, 64.90, 135.65, 4.01, 82.73, -25.57 
32, 230.00, 30.03, 17.53, 28.54, -40.95, -32.04, 0.01, 28.76, 128.04
 32, 425.00, 22.82, 10.74, 1187.57, -6.11, -13.58, 4.01, 89.28, 155.77 
33, 230.00, 35.11, -77.81, 53.09, -24.35, 10.32, 0.01, 63.52, 67.03
 33, 425.00, 39.98, -101.66, 1176.70, 45.65, -154.41, 4.01, 82.21, -163.53 
34, 230.00, 24.68, 10.76, 42.39, 41.48, -0.65, 0.01, 45.62, -90.90
 34, 425.00, 42.47, 12.62, 1184.60, 84.16, 14.12, 4.01, 85.88, -80.48 
35, 230.00, -91.92, -29.08, 26.54, 51.12, 14.16, 0.01, 26.58, -74.52
 35, 425.00, -123.22, -39.58, 1168.58, -201.43, -66.20, 4.01, 79.72, 108.19 
36, 230.00, 44.32, -0.75, 8.56, -53.66, 23.78, 0.01, 8.30, 66.10
 36, 425.00, 36.04, 6.73, 1187.34, -1.24, 27.90, 4.01, 88.65, 2.54 
37, 230.00, -30.42, 43.52, 21.19, 37.10, 41.14, 0.01, 20.93, -42.04
 37, 425.00, -25.53, 66.34, 1181.86, -1.95, 117.33, 4.01, 84.33, 0.95 
38, 230.00, 29.89, -70.24, 8.76, -38.18, 44.53, 0.01, 8.50, 40.61
 38, 425.00, 26.23, -75.74, 1185.43, 7.27, -72.50, 4.01, 86.48, -174.27 
39, 230.00, -74.90, -44.61, 21.88, -50.07, -23.07, 0.01, 21.65, 114.74
 39, 425.00, -121.35, -70.20, 1154.25, -243.97, -136.97, 4.01, 76.37, 119.31 
40, 230.00, 70.46, 29.54, 55.55, -13.43, 15.87, 0.01, 69.48, 40.25
 40, 425.00, 86.93, 42.95, 1179.59, 116.28, 74.89, 4.01, 83.31, -57.22 
41, 230.00, -18.11, -58.07, 18.34, 48.82, 28.24, 0.01, 18.01, -59.95
 41, 425.00, -6.90, -62.58, 1185.88, 30.80, -57.39, 4.01, 86.86, -151.78 
42, 230.00, -8.42, 41.50, 53.19, 14.76, 21.70, 0.01, 63.73, -34.22
 42, 425.00, -5.57, 56.78, 1184.51, 5.54, 86.32, 4.01, 85.82, -3.67 
43, 230.00, 39.32, 51.76, 36.45, 31.14, -34.92, 0.01, 37.92, -138.28
 43, 425.00, 58.74, 53.78, 1182.35, 103.39, 43.86, 4.01, 84.57, -67.01 
44, 230.00, 53.31, -46.92, 9.33, 51.61, -27.69, 0.01, 9.05, -118.21
 44, 425.00, 85.21, -69.40, 1170.00, 163.56, -122.12, 4.01, 80.10, -126.74 
45, 230.00, 17.92, 50.27, 39.66, 42.38, -12.19, 0.01, 41.96, -106.04
 45, 425.00, 35.13, 57.66, 1183.40, 78.81, 62.49, 4.01, 85.14, -51.59 
46, 230.00, -80.78, 24.97, 10.49, 22.03, 54.06, 0.01, 10.19, -22.17
 46, 425.00, -102.30, 50.40, 1172.31, -147.30, 120.64, 4.01, 80.77, 50.68 
47, 230.00, -83.08, 33.38, 0.37, -45.80, 37.68, 0.01, 0.36, 50.55
 47, 425.00, -135.07, 60.26, 1148.09, -273.11, 133.70, 4.01, 75.17, 63.92 
